,X,Y,Z
LM 1,0.01443276538883918,-0.046835249678394954,-0.021251364802984847
LM 2,-0.009681804459511006,-0.04805231512195071,-0.021442880058622
LM 3,-0.0010044879596579066,0.03805679617907977,-0.02814418479809202
LM 4,-0.0013563574001694376,0.020528896183949267,0.10974562168559066
LM 5,0.05007633591786803,-0.02873109530571616,0.007615788540252172
LM 6,-0.04780110511928563,-0.03229983417325124,0.005996870231735159
LM 7,0.03210764438033864,-0.01797114354330324,-0.03985638004130219
LM 8,-0.028872544300547177,-0.02053462543073753,-0.041303437432456014
LM 9,0.06799918029935006,0.04727605120754447,0.034097071088795484
LM 10,-0.07406353787306268,0.051574022531483694,0.03193284250956954
LM 11,0.0146415242117949,0.05765067105963543,-0.03212338111031765
LM 12,-0.01835217965453843,0.05653353096470389,-0.032103838137759376
LM 13,0.049909939231803216,-0.03159387216912158,0.01834477571559052
LM 14,-0.04765234542352782,-0.03517543763962681,0.016718491425594728
LM 15,0.05276070691435953,-0.029797769897028665,0.021201497076975696
LM 16,-0.050805969541467856,-0.03349148389022808,0.019571163117959325
LM 17,0.04811765061098136,-0.03180673794073434,0.03460091390837272
LM 18,-0.046858190761625076,-0.034690740713120116,0.033134511439019874
LM 19,0.0021465930945382297,-0.05317100114133393,0.03224378598794172
LM 20,0.056450077915882746,-0.016077966418531084,-0.00106803409610441
LM 21,-0.05484859372510387,-0.020157309770366675,-0.0027552109964598817
LM 22,-0.005191307149366271,0.1215754849162012,0.05687455311677953
LM 23,0.028025236827664946,-0.040606117411602284,-0.004854148421448155
LM 24,-0.02580145339416188,-0.042791011111879475,-0.006286488161046441
LM 25,0.034894772382450825,-0.042669007586607105,0.028979735132960805
LM 26,-0.03350798722117724,-0.04482415571333295,0.027568953015161116
LM 27,0.053786720101614865,0.051911988544709096,-0.033945671705910466
LM 28,-0.057355402230669664,0.04760243680631844,-0.03559211083391108
LM 29,0.008943431363561736,-0.04755926273904417,-0.029736044365585124
LM 30,-0.004094442483587612,-0.048006085542627905,-0.029653029411193573
LM 31,0.0022260115737850923,-0.05099185500506924,0.02214784521549261
LM 32,-0.00483329809900419,0.1279062687307243,0.01961682408844842
LM 33,-0.0026652599263837394,0.07611965958484544,-0.03279050168947317
LM 34,-0.003634841475088237,0.11628291943558369,-0.013687748679626143
LM 35,0.054762277114470764,0.040391257841823625,-0.006744250131459607
LM 36,-0.058114708262079096,0.03582976650239486,-0.008161640054453351
LM 37,0.003088732792695702,-0.05523762446158106,-0.04711383652379665
LM 38,0.002870985158721893,-0.05290690564407049,-0.035574139170777855
LM 39,0.0643156651173266,0.009050860528443236,-0.006967888394241309
LM 40,-0.06506043393803347,0.0076879970318194405,-0.009235034279218807
