,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11,PC 12,PC 13,PC 14,PC 15,PC 16,PC 17,PC 18,PC 19,PC 20,PC 21,PC 22,PC 23,PC 24,PC 25,PC 26,PC 27,PC 28,PC 29,PC 30,PC 31,PC 32,PC 33,PC 34,PC 35
LM 1_X,0.03851292399640096,0.0280391024248283,-0.05079220701757219,0.03749464289894933,-0.014757945375049049,0.011854749697607029,0.02551761204569624,-0.002662828085525029,-0.02875135253045198,0.014560093179413154,0.022661956913851474,-0.06906826598843743,-0.08363387482715712,0.027631049371670338,0.009592712730710069,0.05343922205760471,-0.06032488898463719,0.03161279680658714,-0.0837673288869284,0.07004575885550902,-0.0027209228670273047,-0.10590587393323812,0.010293595399538013,0.15065661667636,-0.03520232274348691,0.12605359617196596,0.03296663808212481,-0.0641418748456289,0.011640841268756641,0.04779036850389418,0.15942651520951856,0.07433433711009295,-0.05273386379122656,0.05247274783804252,-0.19920737048469883
LM 1_Y,-0.1197871419173905,0.10655034787088238,0.01649293152648202,0.06093425976238959,-0.07416576508133386,0.16223530380530396,0.0980105096303029,-0.01973319646264568,-0.028207921485939435,-0.05385097735281353,0.02674456349985801,-0.05238058934328916,0.07383709704003961,-0.04517065396833708,-0.12279997453067377,-0.042529716305140894,0.08801202101865212,-0.08703501015834696,0.0016211969647269636,0.02636092425300961,0.09217958180920817,0.10528598960348781,0.00047044266740954306,-0.03758352513392576,0.01932299297250871,0.048347297344071456,0.04690051969727729,-0.01923883243813793,0.02418556395152943,0.08563038109394348,0.051706204863457235,0.057465436652945324,0.103561960113477,-0.051560137242557154,0.04195900196496067
LM 1_Z,-0.004874784721275238,-0.029719622696745145,0.03060946931711305,-0.08142865905551196,0.00015149087824285905,-0.05265735198598211,-0.04877097273532835,0.016999709631677826,-0.005254289901886625,0.06503156748263972,0.01338071981160825,-0.03248471083573986,0.09129570513775927,0.027453053019638487,0.06176583361248425,0.023973473902932828,-0.03667345907098171,-0.17586293164166186,0.03743010341060151,0.0652511222847224,-0.06420461565990276,0.03212505084131106,0.12518456889798343,0.07974836705468956,0.12756797405147827,-0.05558985601095469,0.026502340458515742,0.024933655314766486,0.07826803659133887,-0.15472894540190105,-0.026872765805432314,-0.00873067972943086,-0.01690659332701388,0.11441684406648651,0.03366799294001248
LM 2_X,-0.024033314216362678,-0.014790823454643887,0.02032086076936973,-0.02688097918730442,0.03423497817429118,-0.05441532186676271,-0.027155796428105228,0.012469349640560198,0.0652781640189766,-0.028326672485736414,-0.08067863648861506,0.0221367562791715,-0.01106516204085782,-0.08051090498590628,0.11765309373393694,-0.046339692740554335,0.07399918752687551,0.04414774697012088,0.0289066842883752,-0.05186501111603704,-0.04832586322024739,0.05419145895577725,-0.05331331233253152,-0.03078205642793415,-0.04691912639651901,-0.0533531947711513,-0.09148162113904641,-0.0770817209215604,0.00387495224617031,0.10380067503942904,-0.0107080745016533,0.10255970519973939,0.1798425751991113,0.014147416783063322,-0.02764337308765284
LM 2_Y,-0.12096961195091288,0.10582359438864908,0.016437936464931625,0.056225174919878516,-0.057791505813628186,0.15682549967171158,0.07027281517086037,-0.014612890880537823,-0.049104358136626766,-0.055949387294637457,-0.013914976984052555,-0.07451339228223651,0.09663188179805456,0.019159828174492077,-0.07480619596398774,-0.015667804187159663,0.0867967208685104,-0.05024434948561086,0.13041979257298944,0.029894844739377285,0.07636376447226084,0.05750592802307407,-0.1184402534347211,-0.0039874595496277344,-0.023540321623839143,0.040853770327408126,0.01371471780941849,-0.007718592487015346,-0.14288671452351662,-0.035811592943779884,-0.03328140107916188,-0.01939209923974421,0.1387856350490514,0.012878809256000616,-0.02467865050002293
LM 2_Z,-0.019666133552241893,-0.04117113959334789,0.07281881146478733,-0.07675422864892786,0.051759842303167776,-0.0739162272307099,-0.024940659183957353,0.00586497358217941,0.015537412990811395,0.10326588632613798,0.033503838341257836,-0.020724283336997777,0.0720004323087525,0.09317065715628305,-0.029793549456340176,-0.01637276324909325,-0.04595546470856556,-0.10982309012444913,0.0030287078575273957,0.04068975619300219,-0.11436698460237804,-0.015013924354630668,0.07678344271470383,0.1529064951226588,0.06976086580655937,-0.03843812611669794,-0.014170340984772422,0.039163012221718564,0.08184561360388572,0.020254522555348844,0.06280001444665992,-0.05068195354500704,-0.011624471642928506,0.07058332783001317,0.08131976332300934
LM 3_X,0.003885268129144459,-0.017624690975592217,0.004349045280290933,0.03940407759997426,-0.020618207359732507,0.010696598255679386,-0.02310956834101299,0.02096875589811119,-0.004212700611896129,0.0007157806928599362,0.011547456344454714,-0.015207167170572092,-0.0238424692886543,0.020114264558810314,0.007561385110118485,-0.09843277575615192,-0.003305095303095485,0.028045079570892664,-0.016890070504046225,0.01453164956420202,-0.09749366094319249,-0.01991018067398716,0.022944186974463102,0.0676629424432402,-0.060733516897008996,0.003163183308145858,-0.10508607607196961,-0.08624526390037802,0.014329813671455307,-0.10298379346537821,-0.07996033589243788,-0.1241870784462173,-0.10284762095136374,0.11300604383889287,0.4099715199602303
LM 3_Y,0.055904096514141105,0.01223013813972005,-0.10249449038587767,-0.09165657577430034,-0.062182036042076665,-0.029256144886935582,0.026450440654024545,-0.04244232745224785,0.13184169171497603,0.10676212211385004,-0.1446719029550635,-0.07610880819161295,0.04609347753052317,0.04228055048456752,-0.01234948511734125,0.03790883424559777,0.02981923567007976,0.022824397515228224,-0.041406993554617605,0.07001451579912456,0.07168294215808967,-0.031318467906501286,-0.017065876241330505,0.05454861856483791,0.027957746242659228,0.22800647455133033,0.11102180600208704,0.02809303081712932,-0.22789834431393816,0.19821547313892826,0.044519040056241486,-0.07977260315951898,0.07350989727604056,0.19442359526907063,0.01972360882076686
LM 3_Z,-0.016781979205343998,-0.06036025453755812,-0.03919124131500493,-0.15716517990590165,-0.14367659879381423,0.08216936586142387,0.1507734010616949,-0.0336598020992353,-0.20554481564265548,0.038506120818641354,-0.06382121313557411,-0.039735758560173425,0.0048682970143199425,0.011495539607309205,0.03369291183489397,0.028558357501857326,0.02034896551809976,0.09259038876997801,-0.12008105868207616,-0.24213646181577336,0.06464957267322921,0.08104389625005982,-0.018325644843841946,0.16463213745974464,0.030663208642925866,-0.11172498580347881,-0.15437392928055457,0.10099417813134795,0.07211058412779306,-0.056187138137694166,0.06933022974593125,0.04879404900379455,-0.03228620285947325,0.15417381040114625,0.03337242197094886
LM 4_X,-0.014361614525760277,0.0004602241483496699,-0.023925822664373368,-0.09669798226519428,-0.010036918111788065,0.021331633337023648,0.07118371184491579,0.010024472660451771,-0.033244132056953576,0.08421473743739832,0.015827108944561404,-0.05019856607159114,0.2920398852384273,-0.14619438151705202,-0.07257256546873268,-0.03377493546418419,-0.215482003410514,0.1960734245411857,0.11895676330247146,0.21933688154969774,-0.15411398807636317,-0.05892886743328024,0.11123627596877969,-0.06101382014775036,0.08994224842186514,-0.2164431518945014,-0.04718143931126199,-0.03153141114498964,0.009016137844504394,-0.13844660837850317,-0.13203062418100606,-0.039252537611218004,0.179534429098774,0.1367283358234068,-0.3418616777751749
LM 4_Y,-0.034545188259358636,-0.07025590323392823,-0.08228903951167223,0.012630824196497888,0.005168725827519283,-0.11774333837116784,0.18635775190583623,-0.13585024674288618,-0.13035614414407914,-0.4504515923931779,-0.09364636954766549,-0.09467695789816909,0.033741303254566445,-0.17844580120199272,0.1422459843674051,-0.1225936784681112,-0.009812733772716388,-0.02848904586784003,0.11047940729205694,0.09187020527885426,-0.05399052704542507,-0.133289950256312,0.017937453911953966,0.01741962873373444,-0.2214478462315043,-0.05798169973687203,-0.053857454634811674,0.032435687635207607,0.168089896867293,0.14207264031998035,-0.03798591269975986,0.12487035436797955,-0.08943791571491469,0.16302405023031089,0.13080420337701884
LM 4_Z,0.11882093229431842,-0.026306746230957464,0.07289535691283765,0.10933870100892289,-0.05638170092772972,0.20914169033274435,-0.05133791752466325,0.03993019469660494,0.2332822206431644,-0.07441066390459765,-0.09458121194340881,-0.003494909829406714,0.0812677890649804,-0.032772486433556694,0.16454258671274002,0.13189737644834038,-0.054765567619992656,0.13226103537970296,-0.2611865687924394,0.18419865897841184,-0.14876313960225018,-0.046398367610948,0.12840661074117962,-0.00836480404905942,-0.1705658095032131,0.009825683429615865,-0.23701632429620756,0.1229587063084072,-0.05580972068761734,-0.02590769574633143,-0.11642459625631084,-0.09298616774304026,-0.11710017342238242,-0.10318190697763613,-0.01585190771304938
LM 5_X,0.07726547971116376,0.039368350753156346,-0.0662831835183651,0.09528888649270538,-0.07957381585535342,-0.03691486249874467,0.08042933265642319,0.03032534552560945,-0.021744291820634382,0.04268949111644417,-0.043571032977067645,0.049647498760060214,-0.0007080208127592556,0.055536998186890264,-0.01436449272534251,0.027638687294069295,0.035965292679145874,0.006290463585258241,0.08300657532161061,-0.06436692166302446,0.1468111981525363,-0.05654557530064169,0.0008557443031652549,0.0023477187923261564,-0.1222412334546674,-0.05664201448114551,-0.03906582857509604,0.0018271685094764284,0.049733464204974445,-0.0007704435581026807,-0.0031754206257790145,-0.11177162235847304,0.07050729647595397,0.10682222365243355,0.300744368146743
LM 5_Y,-0.04620038021223548,-0.009536388437410045,0.042903437052258665,-0.04246946688137252,0.021031336452880717,-0.06345615574230788,-0.09003456757997477,-0.013588164099772095,0.012554522435406053,0.011162314444518723,0.10205122943139698,0.03110358649727378,0.04630371134011256,-0.0745690930703923,-0.004779960143062875,-0.13798245239487508,0.025245668525923335,0.06734532153757986,-0.060213989272530695,0.026011806275903306,0.12167679390843901,0.049787114742698695,0.05313909809349004,-0.008635990832173614,0.11289471663467664,-0.005968737528606977,-0.0015330173706709525,0.017228741592307636,0.14215870302105804,-0.012925860950855853,0.09239004996940652,-0.0302411072329048,-0.06314626156852922,-0.02839901679366649,0.012418843604944515
LM 5_Z,0.01202668227140787,0.04214226837100632,-0.03360032736868893,0.06124897557517029,0.005969589676359952,0.044186613861510196,-0.07662604302076467,-0.07726134756140374,0.028387651906895545,-0.03674860097932952,-0.027531318196959798,0.004434417983298729,0.007217852281513159,0.024256078764150122,0.057848880180140116,0.032159678079956594,-0.004114955867084322,-0.025522413087144452,-0.015060697145727263,-0.09035264520740786,-0.02875390855959294,0.08347308346340215,0.010605023285113716,-0.07456458552127115,-0.11048458087828701,0.01487768932380537,0.13367770973268517,0.05273600859068699,-0.08248841122639339,-0.08023081323343982,-0.04917815885539812,-0.03106882205668049,-0.1472983581254405,0.12445891234973427,-0.09476709249298304
LM 6_X,-0.0792381997157488,-0.04093185499624312,0.08565834131696737,-0.09843929903900517,0.10137866609778912,0.04146156461071958,-0.07226356146442346,-0.010064986487599153,0.02353761948680636,-0.08028819475277481,0.05195922637019978,-0.02322677112456474,-0.027200224558292078,-0.055996020977812144,0.031488158560964576,0.04060561476485789,-0.013312663102622293,-0.030880793180828345,-0.04748378185633084,-0.015992062369355936,-0.12755958053512453,0.015488645859713945,-0.0922615190082329,-0.08134218219118164,0.06279701137337207,0.03211751054384766,0.08757576413764404,0.12337571450295587,0.02845998350210482,-0.014562946674402485,0.09974035951372032,0.10649180717352882,-0.1861262944515336,0.002075473840220497,0.3626710635835826
LM 6_Y,-0.043267525858497365,-0.0043411223546717635,0.031308865002100075,-0.0008038665539334259,0.06545224469012625,-0.08784388602169788,-0.15096539977802395,-0.026589661415838343,-0.0008027617862120096,0.03344532117975081,0.1331470228805593,-0.009298449093916179,-0.026288408849116998,0.04162339908076336,0.1033074751615735,-0.14034921838225897,0.03604490902820427,0.030770639737864595,-0.03659742084312107,-0.07519029322159136,0.0566002220366869,-0.049615723206715895,-0.08867932749967188,-0.026572683330688917,0.0954137622715174,-0.10252903009067077,0.010483657329941077,-0.0010935918588804753,0.055286422869612564,0.06328710420009798,0.07373418681865099,-0.06552136504658167,-0.0470674715243955,-0.0507296152553446,-0.05683969135147798
LM 6_Z,-0.0014682561413920652,0.019014980413642045,-0.03832237895948098,0.06278707500601101,-0.009417684827302797,0.06103130446165577,-0.06389595863491485,0.05013169704274696,0.0015396517304988619,-0.024626875087970734,0.018832615584003915,0.04788088702080933,0.0033281710153603584,-0.04654505734671235,0.04347375566082585,-0.12264869864868072,0.1485752930896149,-0.1151515519447625,-0.02767519484174492,-0.14824612970877957,-0.048950305515539694,0.07365612823236967,0.04876107256460927,-0.01292513842586334,-0.1505422934486016,-0.10551810182152158,0.05183689895656939,0.04911840370806123,-0.020732571016835344,-0.08271286087467389,0.1794171878542937,0.11412216728435327,-0.19988276262944515,0.0837161640525285,-0.09156914123335588
