"""Sample_name""",Sex,Age,Ancestry
JAB_LM_766,Female,90-99,Caucasian
JAB_LM_879,IND,IND,IND
JAB_LM_1170,IND,IND,IND
JAB_LM_1353,IND,IND,IND
JAB_LM_1393,Male,50-59,Caucasian
JAB_LM_1575,Male,60-69,Mix
JAB_LM_1601,Female,70-79,Caucasian
JAB_LM_1882,IND,IND,IND
JAB_LM_1892,IND,IND,IND
JAB_LM_1900,IND,IND,IND
JAB_LM_1941,Female,100-109,Japanese
JAB_LM_1973,Male,90-99,Korean
JAB_LM_2270,Male,70-79,Mix
JAB_LM_2274,Female,80-89,Mix
JAB_LM_2294,Female,80-89,Korean
JAB_LM_2303,Male,70-79,Caucasian
JAB_LM_2317,Male,60-69,Caucasian
JAB_LM_2343,Female,90-99,Japanese
JAB_LM_2368,IND,IND,IND
JAB_LM_2380,Male,90-99,Caucasian
JAB_LM_2431,Female,90-99,Japanese
JAB_LM_2433,IND,IND,IND
JAB_LM_2458,Male,80-89,Caucasian
JAB_LM_2463,IND,IND,IND
JAB_LM_2467,IND,IND,IND
JAB_LM_2487,Male,80-89,Caucasian
JAB_LM_2508,Male,70-79,Caucasian
JAB_LM_2569,Male,70-79,Caucasian
JAB_LM_2625,Female,80-89,Korean
JAB_LM_2652,Female,70-79,Caucasian
JAB_LM_2681,Female,90-99,Caucasian
JAB_LM_2687,Female,100-109,Japanese
JAB_LM_2697,Female,70-79,Chinese
JAB_LM_2699,Female,80-89,Caucasian
JAB_LM_2700,Female,60-69,Korean
JAB_LM_2701,Female,80-89,Korean
JAB_LM_2727,Male,80-89,Caucasian
