Species,Specimen,NMNH,Field,Age,Dating Method
*H. heidelbergensis s.l*,Kabwe,-,1,274-224 Ka,U-Series
,Arago,1,-,455 Ka,Gamma Spectrometry/U-Series
,Bodo,1,-,600 Ka,40Ar/39Ar
,Ceprano,1,-,">700kya, 450 ka,  353 Ka","NA, magnetostratigraphy & K/Ar, 40Ar/39Ar"
,Eliye Springs,1,-,IND,
,Florisbad,1,-,224-294 Ka,ESR/OSL
,Petralona,1,-,300-250 Ka,U-Series
,Steinheim,1,-,"350, OIS 9 (337-300) ",
,Swanscombe,-,1,350-250 Ka,
Chinese Chibanian,,-,-,,
,Maba,1,-,237-129 Ka,U-Series
,Jinniushan ,-,-,260-200 Ka,"U-Series, Biostratigraphy"
H. neanderthalensis,,-,-,,
,Amud,1,-,70-50 Ka,Thermoluminescence
,Galilee (Manot?),-,1,,
,Gibraltar 1,-,1,>70 Ka,
,La Chapelle-aux-Saints,1,1,60-42 Ka,ESR
,La Ferrassie,1,1,45-44 Ka,OSL and C14
,La Quina 5,1,1,63-55 Ka,Luminescence and Biostratigraphy
,Saccopastore 1,1,-,130-100 Ka,
,Saint-Cesaire,1,-,42-41 Ka,AMS C14
,Shanidar 1,1,-,46-50 Ka,C14
,Spy,-,1,,
,Spy,-,1,,
,Tabun 1,1,-,106-138 Ka,ESR
,Bilzingsleben,-,-,350 Ka,U-Series
,Sima de los Huesos,-,-,600-530 Ka,U-Series
,Ehringsdorf,-,-,OIS 7 (245-186 Ka),Biostratigraphy
Total,,16,9,,
