"X","Time.Period","Age","Specimens...Assemblages","Number","Continent"
"Total H. sapiens","","","",193,""
"","Modern","20th/21st century","JABSOM collection",54,"North America"
"","","19th/20th century","Certosa Cemetery",50,"Europe"
"","Classical to Middle Ages","Merotic Period (350-BCE-350 CE), Ballana Period (350-550 CE, and Medieval Period (550-1400 CE)","Semna South",88,"Africa"
"","Neolithic","8000-3000 BCE","",NA,""
"","Mesolithic","12-10 Ka","",NA,""
"","Upper Paleolithic","50-12 Ka","",NA,""
"","Middle Paleolithic ","150-120 Ka","Singa",1,"Africa"
"Total non-H. sapiens sample","","","",5,""
"","","260-200 Ka","Jinniushan",1,"Asia"
"","","~260 Ka","Florisbad",1,"Africa"
"","","300-200 Ka","Eliye Springs",1,""
"","Lower Paleolithic","~600 Ka","Bodo",1,"Africa"
"","","750-680 Ka","Zhoukoudian",1,"Asia"
