Landmark,Abbreviation,"""Definition and Measurement"""
Alare ,alael; alarr,The most lateral points on the nasal aperture
Basion,bas,The meeting point of the midsagittal plane and the anterior border of the foramen magnum; located on the anterior-inferior portion of the rim
Bregma,brg,The sutural meeting point of the coronal and sagittal sutures 
Ectoconchion ,ectl; ectr,The intersection point of the anterior surface of the lateral orbital border and a line bisecting the long axis of the orbit 
Ectomolare,ecml; ecmr,"The most lateral point on the buccal alveolar margin, at the center of the second molar position "
Eurion ,eurl; eurr,"The lateral-most point (left and right) of the cranial vault comprising the greatest cranial breadth, located on the parietals or temporal bones superior to the zygomatic arch and external auditory meatus "
Foramen magnum breadth points ,fobl; fobr,The lateral-most point (left and right sides) of the foramen magnum rim 
Frontomalare anterior,fmal; fmar,The anterior-most point of the fronto-malar suture
Frontomalare temporale ,fmtl; fmtr,The lateral-most point of the fronto-malar suture 
Frontotemporale ,wfbl; wfbr,The anteriomedial-most point of the temporal line 
Glabella,glb,The anterior-most point of the midsagittal plane on the frontal bone above the frontonasal suture
Jugale ,jugl; jugr,The point of the deepest curvature on the zygomatic bone between the temporal and frontal processes 
Lambda,lam,"The meeting point of the sagittal and labmdoid sutures, when a wormian bone is present, extend the sagittal and lambdoid sutures into the wormian and where the lines meet is the location of lambda"
Lower orbital border ,obhi,"The intersection point of the lower orbital rim and a line that bisects the orbit and is perpendicular to the long axis of the orbit, this point is an inside measurement and is taken at the superior apex of the lower orbital rim "
Upper orbital border,obhs,"The intersection point of the upper orbital rim and a line that bisects the orbit and is perpendicular to the long axis of the orbit, this point is an inside measurement and is taken at the inferior apex of the upper orbital rim "
Mastoidale ,mastl; mastr,The most inferolateral point of the mastoid process
Most inferior nasal border ,nlhil; nlhir,"The inferior-most point on the lower rim of the nasal aperture on either side, at the beginning of the nasal floor"
Nasion,nas,The meeting point of the fronto-nasal suture and the midsagittal plane
Opisthocranion ,opg,"The posterior-most point of the cranium on the occipital bone, farthest from glabella, the location should not be on the inion hook unless it is on a well-developed crest"
Opisthion,ops,The meeting point of the midsagittal plane and the posterior border of the foramen magnum; located on the inferior portion of the rim 
Inion,i ,The most prominent tip of the external occipital protuberance
Porion ,porl; porr,The superior-most point on the margin of the external auditory meatus
Prosthion ,prosH,"The anterior-most point on the midsagittal plane on the alveolar border, between the central incisors "
Subspinale,ssp,The deepest incurvature point below the anterior nasal spine when viewed in profile
Zygion ,zygl; zygr,The lateral-most point on the zygomatic arch 
